AppId,StartTime,EndTime,Id,Time,Duration,Revenue,Hours
Dotyk.Application.JigsawPuzzle,2018-02-01T17:38:28.8962353Z,2018-02-01T17:45:06.027Z,ab69fd8d-ded2-469d-b7bc-d2602fc5a104,17.63,6.62,89.0,17
Dotyk.Application.AirHockey,2018-02-01T17:44:22.7252665Z,2018-02-01T17:44:56.289Z,7c93aad7-6f51-4a9c-b295-f89e9843259d,17.73,0.56,36.0,17
Dotyk.Application.AirHockey,2018-02-01T17:45:24.1929824Z,2018-02-01T17:45:34.676Z,5dca786e-70de-4218-a815-1d01d37e730f,17.75,0.17,89.0,17
Dotyk.Application.PhotoShare,2018-02-01T17:45:25.5829033Z,2018-02-01T18:06:10.728Z,f5885e51-636a-4c8b-ac71-e46fb7ca9cac,17.75,20.75,36.0,17
Dotyk.Application.JigsawPuzzle,2018-02-01T17:47:01.8142858Z,2018-02-01T17:59:29.029Z,04059e8b-69cf-4dd8-93f4-25f07caa6ddb,17.78,12.45,89.0,17
Dotyk.Application.JigsawPuzzle,2018-02-01T17:59:47.0725552Z,2018-02-01T18:00:42.103Z,bbecc334-43b3-4a94-bc2a-441f17c22353,17.98,0.92,89.0,17
Dotyk.Application.Paint,2018-02-01T18:08:31.6378Z,2018-02-01T18:09:12.661Z,18a4d085-0cb8-4c37-be46-fe6983f0506b,18.13,0.68,36.0,18
Dotyk.Application.Wallpapers,2018-02-01T18:09:23.8453772Z,2018-02-01T18:13:39.872Z,d8d0efb7-b4d7-477e-ad8c-b9bab21df6c0,18.15,4.27,36.0,18
Dotyk.Application.PhotoShare,2018-02-01T18:09:39.4781775Z,2018-02-01T18:09:49.247Z,33ef9be8-0066-4380-9f41-006e24d7b0df,18.15,0.16,129.0,18
Dotyk.Application.Paint,2018-02-01T18:09:53.6976607Z,2018-02-01T18:10:37.461Z,6fda9721-9d3f-4738-acb4-872513408e24,18.15,0.73,129.0,18
